floor,latitude,longitude
F1,42.29346392516671,-83.71314867833519
F1,42.29346516775556,-83.71297179807593
F1,42.29369298687138,-83.7129711365731
F1,42.29369298961477,-83.71315000520229
F1,42.29330536436485,-83.71315037787681
F1,42.29330536623219,-83.71328256255353
F1,42.29326198291746,-83.71333672556651
F1,42.29326372439208,-83.71356487483096
F1,42.29326247097801,-83.71338025122304
F1,42.29300136336676,-83.71338562015312
F1,42.29304148026667,-83.71338655443131
F1,42.29304228752333,-83.71323422813991
F1,42.29304508852447,-83.71456141818017
F1,42.29296867753593,-83.71457168752724
F1,42.2930459630914,-83.71457198590649
F1,42.29304596112089,-83.71412701282576
F1,42.29323974780155,-83.71412683329945
F1,42.29324669159913,-83.71397066220678
F1,42.29323758764621,-83.71419592369537
F1,42.29323828171466,-83.7147517004742
F1,42.29317108708698,-83.71475461379492
F1,42.29335280740698,-83.71475605801952
F1,42.29334926612349,-83.71417127957575
F1,42.29323814470504,-83.71416644122503
F1,42.2935425485047,-83.71416934296288
F1,42.29354484868662,-83.7142039227199
F1,42.2935471553192,-83.71416238316337
F1,42.29335993835592,-83.71416529786461
F1,42.29335369497277,-83.71473563038107
F1,42.29347339872001,-83.7147334239263
F1,42.29348183950317,-83.71468055416339
F2,42.29311201570347,-83.71315233608755
F2,42.2937305780809,-83.71315457241188
F2,42.29363478162913,-83.71315181769094
F2,42.2936331305266,-83.71297388796233
F2,42.29374652011769,-83.71297374301805
F2,42.29333420892257,-83.71297693597253
F2,42.29333230915606,-83.71315723442075
F2,42.29331146997845,-83.71315663145222
F2,42.29331074163134,-83.71340434952205
F2,42.29326202475864,-83.71341062358061
F2,42.29326213490836,-83.71400702121484
F2,42.29321750686915,-83.7141076545383
F2,42.2932409431595,-83.71416174866975
F2,42.29338008149081,-83.71418035646136
F2,42.29339894215773,-83.71416681149969
F2,42.29356104889941,-83.71417358173505
F2,42.29356369426114,-83.71469368276205
F2,42.29354029633813,-83.7146943856516
F2,42.293533493495,-83.71475084702652
F2,42.29350557027016,-83.71472557994578
F2,42.29326833052087,-83.71473797781488
F2,42.2932678152684,-83.71501999877768
F2,42.29326708990101,-83.71467685116114
F2,42.29337469807759,-83.7146657919865
F2,42.29337230660342,-83.71418019065885
F2,42.2932643509151,-83.71416773759039
F2,42.29326663903109,-83.7145592246676
F2,42.29327211241219,-83.71467023979578
F2,42.29326521321202,-83.71454724843207
F2,42.29320217956121,-83.71456924011473
F2,42.29308484955119,-83.71455585258309
F2,42.29305022928261,-83.71455534540247
F2,42.29305518970386,-83.71408505065293
F2,42.29304833457991,-83.71453338304069
F2,42.29298725671082,-83.71453497782556
F2,42.29305151603605,-83.71452412856681
F2,42.29305139907414,-83.71404212647246
F2,42.29305426140683,-83.7138288384612
F2,42.29325634314206,-83.71382950498236
F2,42.29305251417944,-83.71383534895706
F2,42.29304944207811,-83.71362732588209
F2,42.29308806549351,-83.71362299194334
F2,42.29305049554982,-83.71361730539994
F2,42.29305318396529,-83.71340678104985
F2,42.29308996870972,-83.71340361310106
F2,42.29309655558025,-83.71339125759215
F2,42.29320991395848,-83.71339601755645
F2,42.2932064480452,-83.71342455574762
F2,42.29326110613954,-83.71342687893436
F2,42.29320758224487,-83.71341624350256
F2,42.29320105386891,-83.71339216179091
F2,42.29309107099385,-83.71339222757142
F2,42.29308977505143,-83.71341502760617
F2,42.29305335578047,-83.71339665399584
F2,42.29305424341577,-83.71324029543904
F2,42.29308914490856,-83.71323820346633
F2,42.29309237215227,-83.71315488571469
F2,42.29313858676511,-83.71315327596093
F3,42.29331473564439,-83.71327603467061
F3,42.29331280598147,-83.71347535356468
F3,42.29330126323905,-83.71351326384055
F3,42.29318161872759,-83.7135091081562
F3,42.29317998154825,-83.71374593884006
F3,42.29318060929133,-83.71370746421165
F3,42.29326360780934,-83.7137065346502
F3,42.29326471794339,-83.71351394343242
F3,42.29326581608194,-83.71400259058717
F3,42.29324445703212,-83.71400554359396
F3,42.29324469598504,-83.7141231561139
F3,42.29328158671957,-83.71415382156633
F3,42.29338212051281,-83.71416950074067
F3,42.29356312292549,-83.71416081315049
F3,42.29356353209665,-83.71469082736229
F3,42.29353983751172,-83.71469976637924
F3,42.29353761208931,-83.71472348370155
F3,42.29339537403727,-83.71472367871633
F3,42.29337440832084,-83.71472056635557
F3,42.29337935611,-83.71417678740076
F3,42.29337646620487,-83.71474236692772
F3,42.29327608340324,-83.71475013628768
F3,42.29326781742984,-83.71498290105494
F3,42.29326931320044,-83.71496295541775
F3,42.29320327890663,-83.71496049380863
F3,42.29320442345484,-83.71480170688736
F3,42.29327052381152,-83.71480132938356
F3,42.29327117942684,-83.71474507085686
F3,42.29326774174577,-83.71456637535491
F3,42.29305356022913,-83.71456256759309
F3,42.29304734985624,-83.71418539187684
F3,42.29326981298058,-83.71418170424617
F3,42.29327527512179,-83.71415484741223
F3,42.29326590886924,-83.71419314297938
F3,42.29326900918291,-83.71456051790571
